Time (s),C1 (pF),C2 (pF)
0.03,22.4331,22.4516
0.06,22.5162,22.5257
0.09,22.5699,22.5835
0.12,22.6282,22.6343
0.15,22.67884,22.6905
0.18,22.72156,22.73703
0.21,22.76457,22.77806
0.24,22.80199,22.80865
0.27,22.84338,22.83521
0.3,22.87645,22.86759
0.33,22.90862,22.89176
0.36,22.93549,22.93361
0.39,22.96198,22.96404
0.42,22.98326,22.98984
0.45,23.00377,23.01259
0.48,23.02694,23.03194
0.51,23.05004,23.03954
0.54,23.0624,23.0611
0.57,23.07739,23.07197
0.6,23.09194,23.09175
0.63,23.09632,23.10784
0.66,23.1068,23.12104
0.69,23.12136,23.13481
0.72,23.13778,23.14557
0.75,23.15373,23.15074
0.78,23.1731,23.16126
0.81,23.176,23.17378
0.84,23.18405,23.1862
0.87,23.1888,23.20237
0.9,23.20553,23.20681
0.93,23.21265,23.21955
0.96,23.22265,23.22792
0.99,23.22661,23.23153
01.02,23.23139,23.2381
01.05,23.23816,23.24195
01.08,23.24307,23.24614
1.11,23.24904,23.26036
1.14,23.25443,23.26639
1.17,23.26054,23.27016
1.2,23.26389,23.278
1.23,23.27171,23.28024
1.26,23.27471,23.28353
1.29,23.28503,23.28921
1.32,23.2878,23.29347
1.35,23.29788,23.30685
1.38,23.29918,23.31089
1.41,23.30134,23.30848
1.44,23.30575,23.30898
1.47,23.31123,23.31131
1.5,23.31497,23.31507
1.53,23.318,23.328
1.56,23.31285,23.33122
1.59,23.31454,23.33489
1.62,23.31888,23.33678
1.65,23.32702,23.33677
1.68,23.33366,23.33193
1.71,23.33014,23.33426
1.74,23.32608,23.33626
1.77,23.33221,23.34194
1.8,23.33932,23.34995
1.83,23.33908,23.34981
1.86,23.33138,23.34764
1.89,23.32664,23.34748
1.92,23.33141,23.3407
1.95,23.34019,23.34203
1.98,23.34752,23.34472
02.01,23.35234,23.34489
02.04,23.34922,23.34998
02.07,23.34981,23.35996
2.1,23.35028,23.35406
2.13,23.34941,23.36229
2.16,23.35283,23.36677
2.19,23.36016,23.36543
2.22,23.36065,23.36249
2.25,23.35761,23.3626
2.28,23.35309,23.36222
2.31,23.35353,23.36627
2.34,23.35156,23.36607
2.37,23.35087,23.36357
2.4,23.35218,23.35663
2.43,23.35364,23.36118
2.46,23.35733,23.36804
2.49,23.3683,23.37134
2.52,23.37112,23.37137
2.55,23.37985,23.37386
2.58,23.37946,23.36783
2.61,23.37714,23.37326
2.64,23.36832,23.37399
2.67,23.3737,23.37935
2.7,23.37352,23.38831
2.73,23.37356,23.39327
2.76,23.37359,23.38984
2.79,23.37152,23.38251
2.82,23.3672,23.37934
2.85,23.37077,23.37684
2.88,23.36697,23.38142
2.91,23.36361,23.38222
2.94,23.36767,23.37857
2.97,23.36875,23.38114
3,23.37144,23.38671
03.03,23.37184,23.38558
03.06,23.37559,23.38376
03.09,23.37991,23.38237
3.12,23.38728,23.37686
3.15,23.39406,23.38131
3.18,23.39323,23.3833
3.21,23.38664,23.38213
3.24,23.38309,23.38395
3.27,23.37581,23.38691
3.3,23.37562,23.38584
3.33,23.37808,23.38629
3.36,23.38156,23.38831
3.39,23.37948,23.38866
3.42,23.37963,23.39611
3.45,23.37781,23.3945
3.48,23.38211,23.39489
3.51,23.38334,23.39655
3.54,23.38303,23.39858
3.57,23.37598,23.39308
3.6,23.37146,23.39893
3.63,23.373,23.39781
3.66,23.38338,23.40358
3.69,23.386,23.4061
3.72,23.38376,23.41104
3.75,23.38616,23.40547
3.78,23.38414,23.40155
3.81,23.38602,23.39408
3.84,23.39158,23.3941
3.87,23.39176,23.3942
3.9,23.38744,23.40043
3.93,23.38894,23.40398
3.96,23.38988,23.39506
3.99,23.38599,23.39272
04.02,23.38125,23.3939
04.05,23.37746,23.39632
04.08,23.37448,23.39445
4.11,23.3727,23.3992
4.14,23.37813,23.397
4.17,23.3813,23.39899
4.2,23.38363,23.39891
4.23,23.39067,23.40102
4.26,23.39395,23.39754
4.29,23.39381,23.39867
4.32,23.3959,23.39938
4.35,23.39268,23.3985
4.38,23.38913,23.40142
4.41,23.38958,23.39901
4.44,23.38869,23.39723
4.47,23.39469,23.391
4.5,23.39968,23.39499
4.53,23.39327,23.40138
4.56,23.38734,23.40984
4.59,23.37627,23.40646
4.62,23.37313,23.40974
4.65,23.38293,23.40464
4.68,23.39205,23.40853
4.71,23.39272,23.4055
4.74,23.39586,23.40707
4.77,23.3906,23.41014
4.8,23.38788,23.41269
4.83,23.39033,23.41056
4.86,23.39108,23.40557
4.89,23.39121,23.3954
4.92,23.39557,23.392
4.95,23.39474,23.39878
4.98,23.3902,23.40471
05.01,23.38462,23.40569
05.04,23.38388,23.41279
05.07,23.38518,23.41184
5.1,23.39223,23.41174
5.13,23.39709,23.413
5.16,23.39744,23.41505
5.19,23.3915,23.40493
5.22,23.39249,23.40687
5.25,23.38719,23.4057
5.28,23.38836,23.40571
5.31,23.39744,23.40906
5.34,23.4041,23.41238
5.37,23.40272,23.41065
5.4,23.40411,23.4115
5.43,23.39946,23.41078
5.46,23.40222,23.412
5.49,23.40932,23.41201
5.52,23.40969,23.41098
5.55,23.40486,23.41179
5.58,23.39364,23.40933
5.61,23.38743,23.40992
5.64,23.38904,23.41946
5.67,23.39379,23.41672
5.7,23.39755,23.41112
5.73,23.39719,23.40683
5.76,23.40269,23.4033
5.79,23.4052,23.40931
5.82,23.40514,23.41265
5.85,23.40816,23.41189
5.88,23.40832,23.41623
5.91,23.39731,23.41895
5.94,23.39931,23.41903
5.97,23.38036,23.40971
6,23.4038,23.3855
