Time (s),C1 (pF),C2 (pF)
0.03,22.5194,22.5344
0.06,22.576,22.5824
0.09,22.6438,22.623
0.12,22.6794,22.6819
0.15,22.7294,22.73585
0.18,22.77618,22.77317
0.21,22.81854,22.80891
0.24,22.85554,22.83951
0.27,22.89253,22.87399
0.3,22.91404,22.9035
0.33,22.94485,22.92676
0.36,22.97352,22.94853
0.39,22.99486,22.97254
0.42,23.0162,22.99497
0.45,23.02828,23.01895
0.48,23.04043,23.03699
0.51,23.06381,23.05745
0.54,23.08391,23.07175
0.57,23.1055,23.09199
0.6,23.12197,23.11251
0.63,23.13707,23.12276
0.66,23.15778,23.13755
0.69,23.16787,23.1542
0.72,23.17679,23.17145
0.75,23.18291,23.18315
0.78,23.19247,23.19692
0.81,23.20516,23.19559
0.84,23.22228,23.19994
0.87,23.22961,23.19909
0.9,23.23469,23.20959
0.93,23.23212,23.21973
0.96,23.24205,23.23374
0.99,23.25295,23.25088
01.02,23.26715,23.25776
01.05,23.27121,23.25778
01.08,23.2754,23.25855
1.11,23.27382,23.26003
1.14,23.28009,23.26706
1.17,23.28646,23.27289
1.2,23.29382,23.28371
1.23,23.29964,23.29248
1.26,23.30202,23.29997
1.29,23.30395,23.29914
1.32,23.30584,23.30741
1.35,23.30993,23.31052
1.38,23.31356,23.31566
1.41,23.31893,23.31896
1.44,23.32473,23.32525
1.47,23.3322,23.3207
1.5,23.33884,23.33126
1.53,23.35045,23.33509
1.56,23.35328,23.33779
1.59,23.34984,23.34141
1.62,23.35017,23.34088
1.65,23.34628,23.33897
1.68,23.3458,23.34339
1.71,23.35632,23.34545
1.74,23.36092,23.34841
1.77,23.36457,23.35209
1.8,23.36747,23.34792
1.83,23.36421,23.34706
1.86,23.36114,23.34596
1.89,23.36023,23.34742
1.92,23.35993,23.3492
1.95,23.36581,23.36398
1.98,23.36571,23.36513
02.01,23.37325,23.36778
02.04,23.37452,23.37028
02.07,23.37309,23.36856
2.1,23.37006,23.37335
2.13,23.37621,23.38155
2.16,23.37617,23.37792
2.19,23.38385,23.3709
2.22,23.38647,23.36823
2.25,23.38844,23.36349
2.28,23.38571,23.36637
2.31,23.38462,23.36978
2.34,23.38142,23.3766
2.37,23.37935,23.3826
2.4,23.38073,23.38743
2.43,23.38333,23.3883
2.46,23.38871,23.38622
2.49,23.39236,23.38312
2.52,23.39737,23.38452
2.55,23.40489,23.38957
2.58,23.40922,23.38602
2.61,23.40132,23.37734
2.64,23.39539,23.37471
2.67,23.39396,23.378
2.7,23.3905,23.38636
2.73,23.39881,23.39354
2.76,23.40357,23.38876
2.79,23.39758,23.38113
2.82,23.40093,23.37222
2.85,23.41356,23.37511
2.88,23.41212,23.3833
2.91,23.41054,23.3896
2.94,23.41032,23.38972
2.97,23.40265,23.39554
3,23.4042,23.39014
03.03,23.40724,23.38805
03.06,23.40283,23.39484
03.09,23.40477,23.40047
3.12,23.40932,23.39717
3.15,23.40759,23.39478
3.18,23.40984,23.38729
3.21,23.40758,23.38212
3.24,23.4144,23.39043
3.27,23.41841,23.39881
3.3,23.42136,23.39995
3.33,23.41735,23.3945
3.36,23.41534,23.38893
3.39,23.41474,23.38426
3.42,23.41937,23.39244
3.45,23.41678,23.39477
3.48,23.41388,23.39662
3.51,23.40702,23.40049
3.54,23.40695,23.39989
3.57,23.41106,23.39721
3.6,23.4177,23.40315
3.63,23.41602,23.4045
3.66,23.4133,23.40574
3.69,23.4122,23.4073
3.72,23.41178,23.40643
3.75,23.40725,23.39718
3.78,23.41185,23.39307
3.81,23.40744,23.39602
3.84,23.41004,23.39658
3.87,23.40794,23.40075
3.9,23.40993,23.40392
3.93,23.40202,23.39727
3.96,23.40897,23.39246
3.99,23.41227,23.39201
04.02,23.41647,23.38884
04.05,23.41576,23.39479
04.08,23.41888,23.3995
4.11,23.41729,23.39935
4.14,23.41562,23.40055
4.17,23.41399,23.40205
4.2,23.41277,23.40645
4.23,23.41072,23.41391
4.26,23.4139,23.41147
4.29,23.41722,23.40417
4.32,23.41261,23.40295
4.35,23.42187,23.40143
4.38,23.42564,23.40157
4.41,23.422,23.40493
4.44,23.4279,23.40536
4.47,23.42074,23.40299
4.5,23.40862,23.40659
4.53,23.40591,23.41037
4.56,23.40242,23.40663
4.59,23.4058,23.4096
4.62,23.41272,23.40805
4.65,23.41997,23.40198
4.68,23.41804,23.40235
4.71,23.42119,23.40638
4.74,23.42117,23.40323
4.77,23.42766,23.40279
4.8,23.42698,23.4025
4.83,23.42491,23.40388
4.86,23.41747,23.4082
4.89,23.42149,23.42002
4.92,23.42255,23.41735
4.95,23.43046,23.41922
4.98,23.43363,23.41855
05.01,23.43098,23.4129
05.04,23.42731,23.40818
05.07,23.42498,23.41234
5.1,23.42163,23.40944
5.13,23.42371,23.41361
5.16,23.42189,23.41461
5.19,23.42145,23.41176
5.22,23.42384,23.40785
5.25,23.42152,23.41127
5.28,23.42414,23.40953
5.31,23.42532,23.40996
5.34,23.42346,23.41217
5.37,23.42518,23.41366
5.4,23.42899,23.41786
