Time (s),C1,C2
0.03,22.5504,22.5585
0.06,22.6289,22.6105
0.09,22.681,22.6799
0.12,22.7184,22.6936
0.15,22.76175,22.74669
0.18,22.80926,22.7947
0.21,22.84278,22.83871
0.24,22.87717,22.86845
0.27,22.9085,22.90329
0.3,22.93377,22.92752
0.33,22.96771,22.94981
0.36,22.98966,22.98221
0.39,23.00867,23.00354
0.42,23.03161,23.0194
0.45,23.04945,23.04431
0.48,23.06465,23.05946
0.51,23.08124,23.0807
0.54,23.09945,23.10102
0.57,23.10772,23.11475
0.6,23.13062,23.13169
0.63,23.15258,23.14911
0.66,23.1697,23.15729
0.69,23.18315,23.16871
0.72,23.19499,23.17685
0.75,23.2006,23.18834
0.78,23.20992,23.1994
0.81,23.21695,23.2171
0.84,23.22825,23.22605
0.87,23.23441,23.24279
0.9,23.24953,23.2455
0.93,23.26063,23.25148
0.96,23.26897,23.25365
0.99,23.27387,23.25663
01.02,23.27901,23.26517
01.05,23.2818,23.28244
01.08,23.29289,23.29136
1.11,23.2969,23.29524
1.14,23.30094,23.30302
1.17,23.30363,23.29593
1.2,23.31107,23.298
1.23,23.31512,23.3
1.26,23.32663,23.3039
1.29,23.33326,23.30681
1.32,23.32961,23.31569
1.35,23.33073,23.32055
1.38,23.33095,23.3239
1.41,23.33129,23.3303
1.44,23.34153,23.33904
1.47,23.3465,23.34459
1.5,23.34293,23.34517
1.53,23.34774,23.34988
1.56,23.34655,23.34611
1.59,23.34887,23.35005
1.62,23.35731,23.35462
1.65,23.36286,23.35502
1.68,23.3641,23.35722
1.71,23.37096,23.36209
1.74,23.36536,23.36213
1.77,23.36621,23.36343
1.8,23.37021,23.36503
1.83,23.37305,23.3664
1.86,23.37146,23.36917
1.89,23.37361,23.37063
1.92,23.36818,23.36512
1.95,23.37145,23.35943
1.98,23.37671,23.36014
02.01,23.38213,23.36544
02.04,23.38376,23.37589
02.07,23.38475,23.38726
2.1,23.38989,23.39194
2.13,23.39201,23.38925
2.16,23.39539,23.38306
2.19,23.39796,23.3766
2.22,23.39189,23.37344
2.25,23.38997,23.3731
2.28,23.38967,23.37578
