Time (s),C1 (pF) ,C2 (pF)
0.015,39.6038,39.605
0.03,39.7234,39.7264
0.045,39.8211,39.8253
0.06,39.9052,39.9086
0.075,39.9793,39.9803
0.09,40.0433,40.0475
0.105,40.0997,40.1044
0.12,40.1486,40.1553
0.135,40.1952,40.1987
0.15,40.2364,40.2394
0.165,40.2709,40.274
0.18,40.3019,40.3078
0.195,40.3327,40.3342
0.21,40.3576,40.3614
0.225,40.3789,40.3832
0.24,40.4002,40.4057
0.255,40.4185,40.4208
0.27,40.4362,40.4376
0.285,40.4493,40.4533
0.3,40.4629,40.4675
0.315,40.4749,40.4772
0.33,40.484,40.4881
0.345,40.4937,40.4975
0.36,40.5018,40.5066
0.375,40.5104,40.5136
0.39,40.5183,40.5197
0.405,40.5231,40.527
0.42,40.5313,40.5342
0.435,40.5388,40.538
0.45,40.5397,40.5428
0.465,40.543,40.5496
0.48,40.5504,40.5508
0.495,40.551,40.555
0.51,40.5546,40.5589
0.525,40.5572,40.5628
0.54,40.5624,40.565
0.555,40.5637,40.5687
0.57,40.5682,40.5707
0.585,40.5706,40.5728
0.6,40.5743,40.5764
0.615,40.5735,40.5767
0.63,40.5763,40.5806
0.645,40.576,40.5819
0.66,40.5785,40.583
0.675,40.5817,40.5841
0.69,40.5821,40.5879
0.705,40.5851,40.5858
0.72,40.5829,40.5876
0.735,40.5872,40.5904
0.75,40.586,40.5917
0.765,40.5877,40.5924
0.78,40.5894,40.5933
0.795,40.5901,40.5936
0.81,40.5936,40.5951
0.825,40.5908,40.5952
0.84,40.5947,40.5967
0.855,40.5939,40.5972
0.87,40.5949,40.5968
0.885,40.5928,40.5994
0.9,40.5975,40.5998
0.915,40.5966,40.6016
0.93,40.5996,40.6038
0.945,40.5982,40.6043
0.96,40.6002,40.6031
0.975,40.6001,40.6046
0.99,40.6011,40.6041
1.005,40.6021,40.6048
01.02,40.6037,40.6079
1.035,40.6031,40.6075
01.05,40.6048,40.6079
1.065,40.6039,40.6059
01.08,40.6056,40.6084
1.095,40.6077,40.6092
1.11,40.6077,40.6091
1.125,40.6079,40.6101
1.14,40.6074,40.6114
1.155,40.6084,40.6138
1.17,40.6088,40.6141
1.185,40.6087,40.6154
1.2,40.6112,40.6119
1.215,40.6117,40.6157
1.23,40.6107,40.6178
1.245,40.6138,40.6155
1.26,40.6137,40.6177
1.275,40.6144,40.6171
1.29,40.612,40.6185
1.305,40.6155,40.6168
1.32,40.6157,40.6203
1.335,40.6171,40.619
1.35,40.6162,40.6207
1.365,40.6163,40.6216
1.38,40.6188,40.6219
1.395,40.6186,40.6221
1.41,40.6208,40.6224
1.425,40.6202,40.6229
1.44,40.621,40.6236
1.455,40.62,40.6256
1.47,40.6217,40.6261
1.485,40.6226,40.6269
1.5,40.6217,40.6261
1.515,40.6233,40.6264
1.53,40.6243,40.6279
1.545,40.6245,40.6275
1.56,40.6245,40.6286
1.575,40.6257,40.628
1.59,40.625,40.6301
1.605,40.6284,40.6296
1.62,40.6273,40.6294
1.635,40.6265,40.6294
1.65,40.6281,40.6312
1.665,40.6293,40.6315
1.68,40.6277,40.6334
1.695,40.6296,40.634
1.71,40.6319,40.6344
1.725,40.6306,40.6356
1.74,40.6296,40.6366
1.755,40.633,40.6347
1.77,40.6309,40.6367
1.785,40.633,40.6351
1.8,40.6339,40.6392
1.815,40.634,40.6385
1.83,40.6342,40.6369
1.845,40.6348,40.6387
1.86,40.6345,40.6386
1.875,40.636,40.6395
1.89,40.6376,40.6407
1.905,40.6351,40.6407
1.92,40.6386,40.6434
1.935,40.6377,40.6412
1.95,40.639,40.6416
1.965,40.639,40.6436
1.98,40.64,40.6436
1.995,40.6389,40.644
02.01,40.6405,40.6445
2.025,40.6415,40.644
02.04,40.6414,40.6467
2.055,40.6422,40.6454
02.07,40.6429,40.6453
2.085,40.6434,40.6463
2.1,40.6438,40.6457
2.115,40.6442,40.6476
2.13,40.6467,40.6474
2.145,40.6459,40.648
2.16,40.64399,40.6473
2.175,40.6466,40.6493
2.19,40.6466,40.64899
2.205,40.6476,40.651
2.22,40.6479,40.6505
2.235,40.6484,40.65341
2.25,40.649,40.65171
2.265,40.6492,40.6542
2.28,40.6501,40.6541
2.295,40.6486,40.654
2.31,40.6514,40.6547
2.325,40.65,40.6542
2.34,40.65231,40.6551
2.355,40.6511,40.654
2.37,40.6526,40.65801
2.385,40.65519,40.6563
2.4,40.6533,40.6571
2.415,40.6519,40.6575
2.43,40.6533,40.65729
2.445,40.65601,40.659
2.46,40.6545,40.6585
2.475,40.6558,40.6592
2.49,40.65669,40.65852
2.505,40.6548,40.6607
2.52,40.6566,40.6599
2.535,40.6558,40.66109
2.55,40.65569,40.6599
2.565,40.65891,40.6598
2.58,40.6585,40.6608
2.595,40.6592,40.663
2.61,40.6585,40.6634
2.625,40.66041,40.6645
2.64,40.66,40.665
2.655,40.66101,40.66591
2.67,40.6593,40.6655
2.685,40.66129,40.66431
2.7,40.6619,40.6653
2.715,40.6616,40.6649
2.73,40.6637,40.6663
2.745,40.6635,40.66669
2.76,40.6639,40.66941
2.775,40.6647,40.66999
2.79,40.6666,40.6691
2.805,40.6659,40.6694
2.82,40.6661,40.6701
2.835,40.66501,40.6703
2.85,40.66798,40.67031
2.865,40.6664,40.6724
2.88,40.66861,40.67109
2.895,40.6685,40.67259
2.91,40.6693,40.6726
2.925,40.6687,40.67401
2.94,40.668,40.6742
2.955,40.6688,40.6752
2.97,40.6707,40.6752
2.985,40.67021,40.6754
3,40.6711,40.6759
