Time (s),C1 (pF) ,C2 (pF)
0.015,39.7466,39.7467
0.03,39.8536,39.8545
0.045,39.9399,39.9424
0.06,40.0147,40.0164
0.075,40.0789,40.0797
0.09,40.1347,40.1376
0.105,40.1835,40.188
0.12,40.2289,40.2338
0.135,40.2715,40.2742
0.15,40.3056,40.3084
0.165,40.336,40.3408
0.18,40.3659,40.368
0.195,40.3893,40.3918
0.21,40.4119,40.4153
0.225,40.434,40.435
0.24,40.4496,40.4523
0.255,40.4659,40.4684
0.27,40.4825,40.485
0.285,40.4938,40.4974
0.3,40.5065,40.5094
0.315,40.5171,40.519
0.33,40.5257,40.5294
0.345,40.5355,40.5369
0.36,40.5439,40.5455
0.375,40.5496,40.5522
0.39,40.5561,40.5598
0.405,40.5624,40.565
0.42,40.566,40.5702
0.435,40.5699,40.573
0.45,40.5752,40.5788
0.465,40.5792,40.5844
0.48,40.5839,40.5863
0.495,40.5866,40.5892
0.51,40.5899,40.5931
0.525,40.5932,40.5969
0.54,40.5961,40.5971
0.555,40.5997,40.5994
0.57,40.5997,40.6036
0.585,40.6034,40.6029
0.6,40.6029,40.6064
0.615,40.6063,40.6077
0.63,40.606,40.6128
0.645,40.6107,40.6151
0.66,40.6109,40.6135
0.675,40.6093,40.6151
0.69,40.6118,40.6155
0.705,40.6135,40.6184
0.72,40.6153,40.6171
0.735,40.6178,40.619
0.75,40.618,40.6224
0.765,40.6188,40.622
0.78,40.617,40.622
0.795,40.6191,40.623
0.81,40.6201,40.6239
0.825,40.6221,40.6239
0.84,40.6227,40.6279
0.855,40.6247,40.6269
0.87,40.6251,40.629
0.885,40.626,40.6268
0.9,40.6273,40.6305
0.915,40.6261,40.6314
0.93,40.6299,40.629
0.945,40.6297,40.631
0.96,40.6285,40.6315
0.975,40.6301,40.6315
0.99,40.6315,40.6315
1.005,40.6316,40.6335
01.02,40.6309,40.6358
1.035,40.6324,40.6339
01.05,40.6315,40.6341
1.065,40.634,40.636
01.08,40.6342,40.6379
1.095,40.6343,40.6371
1.11,40.6359,40.6371
1.125,40.6375,40.6384
1.14,40.6373,40.6394
1.155,40.6374,40.6384
1.17,40.6374,40.6408
1.185,40.639,40.6409
1.2,40.6381,40.6408
1.215,40.6392,40.6412
1.23,40.641,40.6431
1.245,40.6403,40.6431
1.26,40.6415,40.6424
1.275,40.6425,40.6438
1.29,40.6412,40.6453
1.305,40.6411,40.6455
1.32,40.6436,40.6469
1.335,40.6416,40.6474
1.35,40.6404,40.6481
1.365,40.6429,40.6476
1.38,40.6436,40.6475
1.395,40.6443,40.6472
1.41,40.6473,40.6509
1.425,40.6462,40.6489
1.44,40.6477,40.649
1.455,40.6463,40.6512
1.47,40.6484,40.6529
1.485,40.6472,40.6508
1.5,40.6485,40.6546
1.515,40.6513,40.6526
1.53,40.6489,40.6515
1.545,40.6491,40.6531
1.56,40.6493,40.6535
1.575,40.6489,40.6533
1.59,40.6492,40.656
1.605,40.651,40.6543
1.62,40.6511,40.6545
1.635,40.6528,40.6552
1.65,40.6539,40.6563
1.665,40.6537,40.6566
1.68,40.6543,40.6571
1.695,40.6548,40.6574
1.71,40.6559,40.6599
1.725,40.6554,40.6588
1.74,40.6567,40.6595
1.755,40.6576,40.6606
1.77,40.656,40.6621
1.785,40.6579,40.6621
1.8,40.6576,40.6611
1.815,40.6575,40.6619
1.83,40.6599,40.6619
1.845,40.6619,40.6609
1.86,40.6619,40.6646
1.875,40.6602,40.6647
1.89,40.6616,40.665
1.905,40.6597,40.6648
1.92,40.6619,40.664
1.935,40.6624,40.6662
1.95,40.6635,40.6675
1.965,40.6642,40.6672
1.98,40.6646,40.6665
1.995,40.6644,40.6677
02.01,40.6644,40.6679
2.025,40.6658,40.6678
02.04,40.6676,40.6683
2.055,40.66641,40.67009
02.07,40.668,40.66809
2.085,40.6667,40.6707
2.1,40.6663,40.6697
2.115,40.6678,40.6702
2.13,40.669,40.6716
2.145,40.6702,40.6723
2.16,40.6696,40.6741
2.175,40.6678,40.6734
2.19,40.6691,40.6733
2.205,40.6703,40.6729
2.22,40.6722,40.6738
2.235,40.66889,40.6755
2.25,40.6712,40.6758
2.265,40.6717,40.6746
2.28,40.67099,40.67831
2.295,40.675,40.6771
2.31,40.6726,40.6777
2.325,40.6711,40.6753
2.34,40.6738,40.67801
2.355,40.6738,40.6757
2.37,40.6759,40.67891
2.385,40.6753,40.678
2.4,40.67581,40.6782
2.415,40.6749,40.6789
2.43,40.67581,40.68041
2.445,40.6753,40.6799
2.46,40.676,40.6796
2.475,40.6767,40.6806
2.49,40.6769,40.68032
2.505,40.677,40.6834
2.52,40.6794,40.6822
2.535,40.6783,40.6821
2.55,40.6776,40.6829
2.565,40.6785,40.6843
2.58,40.67829,40.6832
2.595,40.6797,40.6832
2.61,40.6824,40.68271
2.625,40.68019,40.68771
2.64,40.6803,40.6849
2.655,40.6806,40.6859
2.67,40.6821,40.6862
2.685,40.6826,40.68521
2.7,40.68411,40.6864
2.715,40.6823,40.688
2.73,40.6851,40.6868
2.745,40.68409,40.6865
2.76,40.68531,40.68731
2.775,40.68431,40.68691
2.79,40.6854,40.69029
2.805,40.6844,40.68791
2.82,40.68381,40.6901
2.835,40.68551,40.6909
2.85,40.68848,40.69189
2.865,40.6868,40.6916
2.88,40.6879,40.69149
2.895,40.68948,40.69409
2.91,40.6883,40.69421
2.925,40.6878,40.69107
2.94,40.6878,40.6938
2.955,40.6896,40.6948
2.97,40.6899,40.6944
2.985,40.69041,40.69538
3,40.692,40.6938
