Time (s),C1 pF,C2 pF
0.015,40.0886,40.0903
0.03,40.1624,40.1607
0.045,40.223,40.2213
0.06,40.2738,40.2757
0.075,40.3174,40.3209
0.09,40.3585,40.36
0.105,40.3935,40.395
0.12,40.4232,40.4247
0.135,40.4529,40.4525
0.15,40.4747,40.4785
0.165,40.4973,40.5007
0.18,40.5171,40.5185
0.195,40.5336,40.533
0.21,40.5495,40.5506
0.225,40.5628,40.5654
0.24,40.5764,40.5786
0.255,40.5894,40.5904
0.27,40.5978,40.6001
0.285,40.6069,40.6058
0.3,40.6162,40.6169
0.315,40.6248,40.6243
0.33,40.6295,40.6297
0.345,40.6354,40.6374
0.36,40.6411,40.6418
0.375,40.645,40.6455
0.39,40.6501,40.6511
0.405,40.6564,40.6563
0.42,40.6588,40.6597
0.435,40.6608,40.6645
0.45,40.663,40.6659
0.465,40.6661,40.6701
0.48,40.6696,40.6735
0.495,40.6718,40.6739
0.51,40.6753,40.6735
0.525,40.6755,40.6787
0.54,40.6801,40.6796
0.555,40.6786,40.6795
0.57,40.6818,40.6816
0.585,40.6818,40.6834
0.6,40.6838,40.6849
0.615,40.6856,40.6875
0.63,40.6871,40.6867
0.645,40.6871,40.6887
0.66,40.6885,40.6899
0.675,40.6897,40.6914
0.69,40.6916,40.6905
0.705,40.692,40.6924
0.72,40.6913,40.6926
0.735,40.6916,40.6948
0.75,40.6929,40.6941
0.765,40.6932,40.6941
0.78,40.6938,40.6985
0.795,40.694,40.6972
0.81,40.6946,40.6965
0.825,40.6986,40.6982
0.84,40.6991,40.6975
0.855,40.6967,40.6969
0.87,40.6978,40.7013
0.885,40.6989,40.6993
0.9,40.7011,40.7017
0.915,40.7,40.6998
0.93,40.7005,40.7019
0.945,40.699,40.7015
0.96,40.7008,40.703
0.975,40.7016,40.704
0.99,40.6994,40.7034
1.005,40.7021,40.7045
01.02,40.7039,40.7034
1.035,40.7037,40.7073
01.05,40.7041,40.7033
1.065,40.7024,40.7076
01.08,40.7053,40.7069
1.095,40.7053,40.7066
1.11,40.7039,40.7062
1.125,40.7072,40.7083
1.14,40.7042,40.7075
1.155,40.7066,40.71
1.17,40.707,40.7086
1.185,40.7076,40.7084
1.2,40.7073,40.7089
1.215,40.7065,40.7096
1.23,40.7071,40.7095
1.245,40.7081,40.7104
1.26,40.7103,40.7107
1.275,40.7077,40.711
1.29,40.7097,40.7118
1.305,40.7057,40.713
1.32,40.708,40.7119
1.335,40.7108,40.7108
1.35,40.7119,40.7107
1.365,40.7097,40.7139
1.38,40.7114,40.7123
1.395,40.7118,40.711
1.41,40.7138,40.7145
1.425,40.71111,40.7134
1.44,40.716,40.7141
1.455,40.7134,40.7167
1.47,40.7131,40.7157
1.485,40.7147,40.7162
1.5,40.7157,40.7148
1.515,40.7116,40.716
1.53,40.7165,40.716
1.545,40.7164,40.7162
1.56,40.7157,40.7191
1.575,40.7136,40.716
1.59,40.7159,40.7181
1.605,40.7163,40.7173
1.62,40.7147,40.7196
1.635,40.719,40.7205
1.65,40.7167,40.7178
1.665,40.7175,40.7191
1.68,40.7154,40.719
1.695,40.7182,40.7206
1.71,40.7208,40.7208
1.725,40.716,40.72
1.74,40.7177,40.7205
1.755,40.7211,40.7228
1.77,40.7195,40.7207
1.785,40.7181,40.7239
1.8,40.7201,40.72079
1.815,40.7213,40.7234
1.83,40.7217,40.7227
1.845,40.7214,40.7214
1.86,40.7223,40.7217
1.875,40.7227,40.724
1.89,40.7218,40.7244
1.905,40.7237,40.7224
1.92,40.7224,40.7263
1.935,40.7224,40.7235
1.95,40.722,40.7251
1.965,40.7234,40.7262
1.98,40.7247,40.7252
1.995,40.7236,40.7268
02.01,40.7261,40.7263
2.025,40.7255,40.7273
02.04,40.725,40.7279
2.055,40.7243,40.72491
02.07,40.7251,40.7278
2.085,40.7244,40.7288
2.1,40.7271,40.7278
2.115,40.726,40.729
2.13,40.7264,40.7283
2.145,40.727,40.7291
2.16,40.7267,40.729
2.175,40.7275,40.7301
2.19,40.72931,40.7304
2.205,40.7282,40.7311
2.22,40.7278,40.7305
2.235,40.72941,40.7312
2.25,40.72711,40.72961
2.265,40.7316,40.7322
2.28,40.72969,40.7314
2.295,40.7306,40.7307
2.31,40.7316,40.7318
2.325,40.7319,40.7316
2.34,40.7305,40.7325
2.355,40.7313,40.7323
2.37,40.7309,40.7343
2.385,40.7312,40.73261
2.4,40.72848,40.73431
2.415,40.7317,40.7337
2.43,40.73422,40.73441
2.445,40.73179,40.73269
2.46,40.7336,40.7356
2.475,40.7328,40.7351
2.49,40.73321,40.73441
2.505,40.7349,40.7361
2.52,40.73221,40.73381
2.535,40.73361,40.73757
2.55,40.73621,40.73599
2.565,40.7346,40.7375
2.58,40.7346,40.7361
2.595,40.7357,40.7358
2.61,40.7354,40.7366
2.625,40.7369,40.7358
2.64,40.7367,40.7349
2.655,40.73509,40.73932
2.67,40.7363,40.7384
2.685,40.73768,40.73592
2.7,40.7362,40.7368
2.715,40.7364,40.7373
2.73,40.7372,40.7397
2.745,40.73861,40.7402
2.76,40.73749,40.74071
2.775,40.7378,40.73901
2.79,40.7384,40.7395
2.805,40.737,40.74079
2.82,40.7374,40.73851
2.835,40.7383,40.7397
2.85,40.73821,40.7404
2.865,40.7398,40.7412
2.88,40.74032,40.74039
2.895,40.73635,40.74159
2.91,40.74202,40.74059
2.925,40.74039,40.74192
2.94,40.7408,40.7405
2.955,40.7375,40.741
2.97,40.7399,40.7413
2.985,40.74169,40.74191
3,40.7426,40.7435
