Time (s),C1 (pF),C2 (pF)
0.015,40.4791,40.4772
0.03,40.5185,40.5153
0.045,40.5502,40.5488
0.06,40.5784,40.5728
0.075,40.5995,40.5965
0.09,40.6175,40.6183
0.105,40.636,40.6342
0.12,40.652,40.6493
0.135,40.665,40.6614
0.15,40.6783,40.6758
0.165,40.6876,40.6854
0.18,40.698,40.6975
0.195,40.7054,40.7063
0.21,40.7139,40.711
0.225,40.7201,40.7183
0.24,40.7221,40.724
0.255,40.7308,40.7303
0.27,40.7369,40.7366
0.285,40.7415,40.7399
0.3,40.7456,40.7434
0.315,40.7483,40.7473
0.33,40.7505,40.7506
0.345,40.7552,40.7516
0.36,40.756,40.7531
0.375,40.7595,40.757
0.39,40.7603,40.7604
0.405,40.7639,40.7627
0.42,40.7647,40.7643
0.435,40.7665,40.7639
0.45,40.7679,40.7652
0.465,40.7682,40.7688
0.48,40.7713,40.7698
0.495,40.7705,40.7701
0.51,40.7713,40.7707
0.525,40.7735,40.773
0.54,40.7731,40.7747
0.555,40.775,40.7743
0.57,40.7757,40.7733
0.585,40.7758,40.7727
0.6,40.779,40.7747
0.615,40.7787,40.7763
0.63,40.7788,40.7744
0.645,40.7779,40.7794
0.66,40.7782,40.7783
0.675,40.7798,40.7797
0.69,40.7797,40.777
0.705,40.779,40.7781
0.72,40.7805,40.7785
0.735,40.7795,40.7794
0.75,40.7818,40.7794
0.765,40.7812,40.7806
0.78,40.7801,40.7799
0.795,40.7804,40.782
0.81,40.7802,40.7817
0.825,40.784,40.784
0.84,40.784,40.7812
0.855,40.784,40.7842
0.87,40.7831,40.7843
0.885,40.7843,40.7841
0.9,40.7825,40.7839
0.915,40.7831,40.7835
0.93,40.7839,40.7825
0.945,40.7845,40.7808
0.96,40.7848,40.7836
0.975,40.7866,40.7835
0.99,40.7845,40.7847
1.005,40.7826,40.7839
01.02,40.7854,40.7856
1.035,40.7833,40.7844
01.05,40.7862,40.7862
1.065,40.786,40.7854
01.08,40.7841,40.7849
1.095,40.7876,40.7837
1.11,40.7866,40.7855
1.125,40.7874,40.787
1.14,40.7866,40.7856
1.155,40.7864,40.7861
1.17,40.7863,40.7875
1.185,40.7849,40.7859
1.2,40.7842,40.7847
1.215,40.7862,40.7867
1.23,40.7871,40.786
1.245,40.7889,40.7863
1.26,40.7881,40.7882
1.275,40.7878,40.7899
1.29,40.7871,40.7889
1.305,40.7895,40.7869
1.32,40.786,40.7876
1.335,40.7877,40.788
1.35,40.7916,40.7889
1.365,40.787,40.7902
1.38,40.7902,40.7893
1.395,40.7911,40.7888
1.41,40.7888,40.7866
1.425,40.791,40.7888
1.44,40.7917,40.7878
1.455,40.7883,40.7902
1.47,40.7897,40.7879
1.485,40.7906,40.7886
1.5,40.7905,40.7904
1.515,40.7904,40.7896
1.53,40.7896,40.7893
1.545,40.7899,40.7912
1.56,40.7908,40.7891
1.575,40.7915,40.7894
1.59,40.7913,40.7892
1.605,40.7919,40.7898
1.62,40.7926,40.7893
1.635,40.7928,40.7893
1.65,40.7936,40.7915
1.665,40.793,40.789
1.68,40.7937,40.7907
1.695,40.791,40.7902
1.71,40.7917,40.7898
1.725,40.793,40.7911
1.74,40.7913,40.7894
1.755,40.7944,40.792
1.77,40.7926,40.7929
1.785,40.792,40.7923
1.8,40.7919,40.794
1.815,40.7938,40.7911
1.83,40.7921,40.7919
1.845,40.7933,40.7939
1.86,40.7918,40.7932
1.875,40.7931,40.7945
1.89,40.7934,40.7938
1.905,40.7944,40.78899
1.92,40.7947,40.7939
1.935,40.7935,40.7934
1.95,40.7944,40.7942
1.965,40.7944,40.7927
1.98,40.7935,40.7927
1.995,40.7943,40.7924
02.01,40.7949,40.7911
2.025,40.7953,40.7934
02.04,40.7935,40.7941
2.055,40.79509,40.7947
02.07,40.7939,40.795
2.085,40.7939,40.7937
2.1,40.7946,40.7947
2.115,40.7952,40.7953
2.13,40.7957,40.7943
2.145,40.79361,40.7935
2.16,40.79571,40.7951
2.175,40.7951,40.7957
2.19,40.7955,40.795
2.205,40.7957,40.7956
2.22,40.7952,40.796
2.235,40.7956,40.7962
2.25,40.7961,40.79411
2.265,40.7968,40.7958
2.28,40.7978,40.796
2.295,40.7948,40.7951
2.31,40.7976,40.7958
2.325,40.7984,40.798
2.34,40.796,40.796
2.355,40.7976,40.7963
2.37,40.79539,40.7968
2.385,40.7977,40.7975
2.4,40.7975,40.79649
2.415,40.798,40.7973
2.43,40.79801,40.79639
2.445,40.79639,40.7974
2.46,40.7982,40.7982
2.475,40.80011,40.7973
2.49,40.7984,40.7973
2.505,40.7961,40.7973
2.52,40.79929,40.7991
2.535,40.79731,40.7989
2.55,40.79719,40.7985
2.565,40.7992,40.7989
2.58,40.7992,40.79851
2.595,40.7986,40.79611
2.61,40.8004,40.7993
2.625,40.79749,40.80181
2.64,40.7985,40.7993
2.655,40.7999,40.79789
2.67,40.8007,40.7989
2.685,40.79931,40.79899
2.7,40.7995,40.79769
2.715,40.7992,40.799
2.73,40.7985,40.8006
2.745,40.7999,40.79939
2.76,40.8003,40.80182
2.775,40.80149,40.79921
2.79,40.7999,40.7998
2.805,40.79851,40.7995
2.82,40.80119,40.8003
2.835,40.79981,40.79951
2.85,40.8007,40.80119
2.865,40.8024,40.8007
2.88,40.8017,40.80212
2.895,40.8013,40.79942
2.91,40.80029,40.80091
2.925,40.80162,40.8002
2.94,40.8003,40.8004
2.955,40.8011,40.8004
2.97,40.8009,40.8019
2.985,40.80218,40.80239
3,40.8007,40.8014
