logt,S,S2
-1.82391,173.4823,174.7678
-1.54617,173.66539,175.55496
-1.50649,173.69638,175.6776
-1.46682,173.72983,175.80121
-1.42714,173.76616,175.92529
-1.38746,173.8058,176.04929
-1.34779,173.84915,176.17271
-1.30811,173.89648,176.29463
-1.26843,173.94725,176.41252
-1.22875,174.00076,176.52343
-1.18908,174.05649,176.62486
-1.1494,174.11527,176.71773
-1.10972,174.17851,176.80429
-1.07005,174.24669,176.88522
-1.03037,174.31914,176.95907
-0.99069,174.39524,177.02493
-0.95102,174.47473,177.08289
-0.91134,174.55809,177.13369
-0.87166,174.64614,177.17815
-0.83198,174.73876,177.21641
-0.79231,174.83397,177.24749
-0.75263,174.93477,177.27286
-0.71295,175.03905,177.296
-0.67328,175.14957,177.31727
-0.6336,175.26323,177.33928
-0.59392,175.37819,177.35714
-0.55425,175.49628,177.37731
-0.51457,175.61703,177.39882
-0.47489,175.7387,177.42035
-0.43522,175.86238,177.44387
-0.39554,175.98521,177.46882
-0.35586,176.10544,177.49511
-0.31618,176.21961,177.52152
-0.27651,176.34056,177.54836
-0.23683,176.4559,177.5772
-0.19715,176.55641,177.60428
-0.15748,176.65796,177.63737
-0.1178,176.75391,177.67285
-0.07812,176.83815,177.70113
-0.03845,176.91675,177.73628
0.00123,176.98577,177.76795
0.04091,177.04731,177.80401
0.08059,177.09345,177.83562
0.12026,177.12777,177.86995
0.15994,177.15463,177.90318
0.19962,177.17951,177.93472
0.23929,177.20249,177.96436
0.27897,177.22321,177.99186
0.31865,177.24195,178.01735
0.35832,177.25917,178.04099
0.398,177.27523,178.06263
0.43768,177.29044,178.08212
0.47735,177.30481,178.09938
0.51703,177.31669,178.11455
0.55671,177.32799,178.12725
0.59639,177.3415,178.13722
0.63606,177.35588,178.14524
0.67574,177.37162,178.15177
0.71542,177.38833,178.15642
0.75509,177.40676,178.1595
0.79477,177.42632,178.1618
0.83445,177.44695,178.16327
0.87412,177.46851,178.16411
0.9138,177.49143,178.16494
0.95348,177.51547,178.16536
0.99316,177.54115,178.16562
1.03283,177.56769,178.16565
1.07251,177.59479,178.16574
1.11219,177.62361,178.16582
1.15186,177.65356,178.16564
1.19154,177.68411,178.16573
1.23122,177.71487,178.1655
1.27089,177.74643,178.16624
1.31057,177.77752,178.16631
1.35025,177.80909,178.16649
